NAICS_code,NAICS_title,Value_2012,Value_2007,Percent_change,Tons_2012,Tons_2007,Percent_change1,Ton_miles_2012,Ton_miles_2007,Percent_change2,Miles_per_shipment_2012,Miles_per_shipment_2007,Percent_change3
212,Mining (except oil and gas) ,99888,85730,16.5,2900863,3638118,-20.3,859267,1057505,-18.7,47,53,-11.1
311,Food manufacturing ,744573,585676,27.1,545892,568950,-4.1,261169,264425,-1.2,239,305,-21.6
312,Beverage and tobacco product manufacturing ,142936,129804,10.1,159843,143530,11.4,49408,42063,17.5,292,227,28.3
313,Textile mills ,30328,35936,-15.6,7101,8989,-21,3731,4133,-9.7,765,811,-5.6
314,Textile product mills ,21595,28448,-24.1,5096,7022,-27.4,2313,3131,-26.1,918,854,7.6
315,Apparel manufacturing ,12462,24381,-48.9,515,1463,-64.8,402,1400,-71.3,1169,1224,-4.5
316,Leather and allied product manufacturing ,4870,5441,-10.5,688,636,8.1,707,789,-10.3,1105,1118,-1.1
321,Wood product manufacturing ,76802,100923,-23.9,211440,218834,-3.4,59705,78742,-24.2,341,343,-0.5
322,Paper manufacturing ,180585,174780,3.3,156327,166472,-6.1,83270,89418,-6.9,532,494,7.7
323,Printing and related support activities ,79263,98848,-19.8,21535,33661,-36,10296,15936,-35.4,769,791,-2.7
324,Petroleum and coal products manufacturing ,835321,608090,37.4,1222084,1415099,-13.6,165106,207148,-20.3,216,222,-2.8
325,Chemical manufacturing ,785839,713674,10.1,609778,594262,2.6,313078,279917,11.8,887,847,4.6
326,Plastics and rubber products manufacturing ,216973,209268,3.7,59798,66753,-10.4,33421,37394,-10.6,764,679,12.5
327,Nonmetallic mineral product manufacturing ,98603,124713,-20.9,707054,1060926,-33.4,73594,98086,-25,180,170,5.9
331,Primary metal manufacturing ,265380,251412,5.6,189419,201339,-5.9,87875,98318,-10.6,602,545,10.5
332,Fabricated metal product manufacturing ,333287,338290,-1.5,96723,118350,-18.3,38545,44620,-13.6,562,596,-5.7
333,Machinery manufacturing ,402610,343262,17.3,36938,40523,-8.8,26510,31565,-16,889,917,-3.1
334,Computer and electronic product manufacturing ,331636,389399,-14.8,4576,5416,-15.5,3791,4442,-14.6,1164,1205,-3.4
