NAICS_code,NAICS_title,Value_2012,Value_2007,Percent_change_value,Tons_2012,Tons_2007,Percent_change_tons,Ton_miles_2012,Ton_miles_2007,Percent_change_ton_miles,Average_miles_per_shipment_2012,Average_miles_per_shipment_2007,Percent_change_avh_miles
212,Mining (except oil and gas) ,"""99,888""","""85,730""",16.5,"""2,900,863""","""3,638,118""",20.3,"""859,267""","""1,057,505""",18.7,47,53,11.1
311,Food manufacturing ,"""744,573""","""585,676""",27.1,"""545,892""","""568,950""",4.1,"""261,169""","""264,425""",1.2,239,305,21.6
312,Beverage and tobacco product manufacturing ,"""142,936""","""129,804""",10.1,"""159,843""","""143,530""",11.4,"""49,408""","""42,063""",17.5,292,227,28.3
313,Textile mills ,"""30,328""","""35,936""",15.6,"""7,101""","""8,989""",21,"""3,731""","""4,133""",9.7,765,811,5.6
314,Textile product mills ,"""21,595""","""28,448""",24.1,"""5,096""","""7,022""",27.4,"""2,313""","""3,131""",26.1,918,854,7.6
315,Apparel manufacturing ,"""12,462""","""24,381""",48.9,515,"""1,463""",64.8,402,"""1,400""",71.3,1169,1224,4.5
316,Leather and allied product manufacturing ,"""4,870""","""5,441""",10.5,688,636,8.1,707,789,10.3,1105,1118,1.1
321,Wood product manufacturing ,"""76,802""","""100,923""",23.9,"""211,440""","""218,834""",3.4,"""59,705""","""78,742""",24.2,341,343,0.5
322,Paper manufacturing ,"""180,585""","""174,780""",3.3,"""156,327""","""166,472""",6.1,"""83,270""","""89,418""",6.9,532,494,7.7
323,Printing and related support activities ,"""79,263""","""98,848""",19.8,"""21,535""","""33,661""",36,"""10,296""","""15,936""",35.4,769,791,2.7
324,Petroleum and coal products manufacturing ,"""835,321""","""608,090""",37.4,"""1,222,084""","""1,415,099""",13.6,"""165,106""","""207,148""",20.3,216,222,2.8
325,Chemical manufacturing ,"""785,839""","""713,674""",10.1,"""609,778""","""594,262""",2.6,"""313,078""","""279,917""",11.8,887,847,4.6
326,Plastics and rubber products manufacturing ,"""216,973""","""209,268""",3.7,"""59,798""","""66,753""",10.4,"""33,421""","""37,394""",10.6,764,679,12.5
327,Nonmetallic mineral product manufacturing ,"""98,603""","""124,713""",20.9,"""707,054""","""1,060,926""",33.4,"""73,594""","""98,086""",25,180,170,5.9
